latitude,longitude,ts
48.1383356,11.5732957,59:26.2
48.14706,11.561199,48:04.0
48.754981,8.5451696,26:08.5
48.1068224,11.4774236,37:32.5
48.106779,11.4772959,20:06.2
48.1469015,11.5609119,21:18.3
9.5942784,76.5534419,33:20.5
48.1339198,11.5685515,20:03.7
46.5180354,6.567468,04:34.6
48.1431361,11.5744421,55:15.0
48.1838454,11.6071867,01:39.1
48.1469974,11.5611315,30:14.0
48.262823,11.6670525,52:36.8
48.1068136,11.4775064,11:18.1
48.1068204,11.477471,09:42.9
48.1068231,11.4774423,29:47.9
48.1470225,11.5611655,44:55.6
48.1067904,11.4773776,39:43.4
9.9348504,76.3777957,24:19.9
48.146955,11.5611005,56:42.8
48.158125,11.5855736,24:20.3
35.8901347,14.5013574,42:17.0
48.1068231,11.4774423,58:46.0
48.2626761,11.6677161,55:23.6
48.1474286,11.5600079,04:15.7
48.1068183,11.4775232,19:33.0
48.10687,11.4773563,05:47.0
48.1443039,11.5588769,51:13.7
48.2628475,11.6671015,47:02.7
48.1153484,11.4793844,47:48.6
48.1068455,11.4774344,30:36.8
48.2777011,11.6500612,21:29.6
48.1801964,11.5548869,28:21.0
48.2148623,11.6241475,55:33.1
48.2859138,11.6382814,37:06.0
48.1801914,11.5535287,28:11.8
48.1470116,11.5611254,35:15.4
48.1068174,11.4774014,57:33.9
48.1470579,11.5611151,22:56.4
48.1434816,11.549324,39:32.9
48.1471163,11.5611463,26:02.0
48.1067466,11.4772449,14:48.8
48.116879,11.5210733,15:12.6
48.1069173,11.4774745,16:51.7
48.1066851,11.4776426,09:22.4
48.1801255,11.5534926,40:34.9
48.1068251,11.4775097,22:48.6
48.1453847,11.5633958,54:43.0
48.1824931,14.1921968,14:25.0
9.9349218,76.3776544,18:59.1
48.1311131,11.5400086,25:21.0
48.1068177,11.4773997,44:17.6
48.1068376,11.4774896,32:46.8
41.710202,44.7750822,44:21.7
9.9348894,76.3777081,23:01.8
48.137931,11.572984,37:27.4
48.1067904,11.4773776,31:34.7
48.1470555,11.5611374,23:23.5
9.9378949,76.3783793,22:19.7
48.1801034,11.5534553,44:39.6
48.1069413,11.4774391,04:04.0
48.1068524,11.4773955,29:21.6
41.70758,44.7839408,52:41.7
9.9348894,76.3777081,41:12.0
48.141891,11.5736701,44:45.0
48.1470201,11.5611088,00:32.6
51.499892,-0.1287345,49:44.8
48.1339293,11.5684878,09:14.6
48.1404831,11.4567853,49:54.0
48.3843642,10.5025282,00:04.1
10.1546847,76.3904333,25:51.2
48.1068199,11.4773768,13:21.0
9.5928221,76.5542567,43:05.7
48.1068245,11.4775442,04:38.0
48.1067904,11.4773776,53:27.6
48.5356033,9.2880865,20:38.0
48.1063532,11.4792186,37:37.4
38.7162961,-9.1439133,24:27.7
48.1339773,11.5684888,57:27.7
48.177971,11.5939971,45:31.9
51.5109915,-0.074812,33:34.1
48.1801421,11.5535076,19:28.5
48.1470493,11.5611209,34:56.9
48.14965,11.4728421,00:30.8
48.1068159,11.4774204,17:22.8
48.1470468,11.5611332,26:10.6
48.1470538,11.5611981,59:05.0
48.1470074,11.5611313,50:36.9
11.1033132,76.2654718,00:04.6
48.1069512,11.4773406,39:50.3
48.1068282,11.4774543,52:19.6
48.1474459,11.560166,05:29.0
48.1066494,11.4772173,57:12.8
9.9349325,76.3776557,02:55.9
48.1801398,11.5535351,37:13.6
48.1065412,11.4771218,38:17.3
48.2678828,11.6652684,56:44.3
48.1801519,11.5535365,36:32.8
48.147013,11.5611254,21:21.8
48.1801629,11.5535395,53:05.3
48.1068435,11.4774214,27:17.9
48.2677558,11.6651966,25:11.1
48.1105976,11.7154341,12:40.4
9.9346753,76.3775634,25:41.8
48.1067986,11.4773937,01:21.5
48.1068075,11.4773782,51:23.5
48.1343758,11.5670038,09:18.2
48.1068444,11.4774682,07:23.6
48.1067468,11.4772463,56:48.1
48.7463217,9.1251145,09:39.0
48.133908,11.5687504,09:11.7
48.1435047,11.5645709,00:19.3
49.9332714,10.6324204,38:34.0
48.0978303,11.512952,26:59.9
46.51827,6.5619415,59:23.0
48.1071024,11.4801238,01:25.6
48.1071024,11.4801238,20:45.8
48.1507694,11.5580875,16:16.4
48.1801138,11.5534653,09:07.3
48.1470478,11.5611495,35:18.0
48.1916461,11.6139485,11:37.0
48.1470108,11.5611867,49:17.5
48.1469837,11.5611643,11:59.7
48.1068658,11.4774084,58:33.1
41.0123836,28.9661273,53:55.0
48.1722819,11.5728355,08:06.4
48.1469734,11.561153,10:59.4
41.0342787,28.9791113,59:27.0
48.1067705,11.4775748,20:22.2
48.1281239,11.543783,33:15.7
51.4999116,-0.1287405,25:12.2
48.1070227,11.4809128,17:01.6
48.1497803,11.5461484,18:54.3
48.2777011,11.6500612,39:13.9
48.764109,9.1700241,35:27.0
48.1471576,11.6213024,03:56.2
9.5941661,76.5533712,34:23.8
